,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 10:24:00,107.997,0.0,0.0025236429561694834,13.287280431777276,1.5439855933155562e-05,6.819262165644983e-05,8.864024417100548e-05,121.28680908250003,0.684771957331188,0.00046340119094390414
2017-01-07 10:25:00,108.692,0.0,0.002596463874305209,12.592104200794413,1.5439855933155562e-05,6.782584753907094e-05,8.902530324746334e-05,121.28670642426849,0.6847713777341266,0.000463620831095514
2017-01-07 10:26:00,108.82,0.0,0.0026058472001273102,12.464082484492213,1.5439855933155562e-05,6.767900163382886e-05,8.917119723719403e-05,121.286694384032,0.6847713097562782,0.00046384607981492205
2017-01-07 10:27:00,106.322,0.0,0.002332237316216447,14.9627335132322,1.5439855933155562e-05,6.958082965280882e-05,8.732007466948064e-05,121.2870680499375,0.6847734194327998,0.00046400793135415705
2017-01-07 10:28:00,104.32,0.0,0.002189555667237264,16.9650560706665,1.5439855933155562e-05,7.016117896742994e-05,8.673358968386418e-05,121.28724675888851,0.6847744284038422,0.00046415031531419666
2017-01-07 10:29:00,102.535,0.0,0.002056167336562225,18.75033912022587,1.5439855933155562e-05,7.068394297542264e-05,8.62108341588491e-05,121.28739537459768,0.6847752674717574,0.000464275251013371
2017-01-07 10:30:00,100.839,0.0,0.0019419762599882009,20.446609758966122,1.634051419592297e-05,7.044396860034728e-05,8.649002531199617e-05,121.28755144076862,0.6847761486041589,0.00046440881731589257
2017-01-07 10:31:00,103.59,0.0,0.00210267945883463,17.695263242335997,1.634051419592297e-05,6.98003886318828e-05,8.712647894383287e-05,121.28736690737095,0.6847751067489327,0.00046456447401320954
2017-01-07 10:32:00,103.525,0.0,0.002111761501576145,17.76021824269508,1.634051419592297e-05,6.994346399221609e-05,8.698900501098654e-05,121.28733070922348,0.6847749023781814,0.0004647147216102306
2017-01-07 10:33:00,103.107,0.0,0.0021048043789587997,18.17823430113963,1.634051419592297e-05,7.004245627066047e-05,8.688943559221701e-05,121.28733961198371,0.6847749526421845,0.00046486165598481503
2017-01-07 10:34:00,102.48,0.0,0.0020467102177584564,18.805357943099274,1.634051419592297e-05,7.02997194638612e-05,8.663334558984593e-05,121.28740464642897,0.6847753198194951,0.00046500002221167426
2017-01-07 10:35:00,99.259,0.0,0.0018637826766092832,22.026781255986744,1.634051419592297e-05,7.116136456698284e-05,8.578920859587255e-05,121.28764332599319,0.6847766673780104,0.0004651099063553724
2017-01-07 10:36:00,100.852,0.0,0.0019336891894186777,20.43361714595781,1.634051419592297e-05,7.095590534561492e-05,8.59902600913777e-05,121.28754952898778,0.684776137810455,0.00046522730069779904
2017-01-07 10:37:00,101.958,0.0,0.002013612030363711,19.32743243805882,1.634051419592297e-05,7.061861192762559e-05,8.632396754079701e-05,121.2874454149306,0.6847755499939623,0.0004653551738342542
2017-01-07 10:38:00,104.228,0.0,0.002166841493928059,17.057107483569546,1.634051419592297e-05,6.994485965117721e-05,8.699696772746757e-05,121.28727503665735,0.6847745880570085,0.0004655055230223746
2017-01-07 10:39:00,105.096,0.0,0.002233059273169458,16.1889817139701,1.634051419592297e-05,6.94453802692955e-05,8.748188270010052e-05,121.28721646923151,0.6847742573917768,0.0004656723128270684
2017-01-07 10:40:00,107.029,0.0,0.0024170329909526914,14.255561559133035,1.724117245869038e-05,6.818827435574218e-05,8.87949304675437e-05,121.28698195760764,0.6847729333649935,0.0004658819470444581
2017-01-07 10:41:00,106.218,0.0,0.002338173837121248,15.066736223589,1.724117245869038e-05,6.869266665159021e-05,8.830294219669331e-05,121.28707676652921,0.684773468645716,0.0004660756647955927
2017-01-07 10:42:00,105.824,0.0,0.0022988485642977904,15.460819647420168,1.724117245869038e-05,6.88463461604458e-05,8.814876595698162e-05,121.2871205572318,0.6847737158831967,0.00046626352295551783
2017-01-07 10:43:00,107.844,0.0,0.002478139049918961,13.440402994427906,1.724117245869038e-05,6.767196765240086e-05,8.927266692482897e-05,121.28688549300463,0.6847723887364761,0.00046648977934582057
2017-01-07 10:44:00,108.948,0.0,0.002599873411389069,12.336108837747329,1.724117245869038e-05,6.680889091175129e-05,9.01305024327352e-05,121.28671479159777,0.6847714249751455,0.0004667447598288696
2017-01-07 10:45:00,110.918,0.0,0.0028655211596971693,10.365482884479732,1.724117245869038e-05,6.450549038143267e-05,9.241122804411601e-05,121.28635907020464,0.6847694166113631,0.000467076262336385
